iter	Passed	Remaining
403	9151	24826
404	9172	24798
405	9195	24776
406	9215	24749
407	9237	24725
408	9261	24705
409	9283	24681
410	9306	24658
411	9327	24632
412	9350	24609
413	9373	24589
414	9396	24567
415	9419	24544
416	9441	24521
417	9463	24496
418	9484	24470
419	9507	24447
420	9527	24419
421	9550	24396
422	9573	24374
423	9596	24353
424	9617	24327
425	9641	24306
426	9661	24277
427	9684	24257
428	9707	24235
429	9731	24216
430	9754	24195
431	9776	24170
432	9798	24146
433	9820	24121
434	9842	24096
435	9865	24075
436	9887	24050
437	9909	24026
438	9930	23999
439	9953	23979
440	9974	23951
441	9995	23926
442	10018	23905
443	10042	23885
444	10065	23863
445	10088	23842
446	10112	23821
447	10133	23796
448	10158	23779
449	10181	23755
450	10206	23738
451	10228	23716
452	10254	23699
453	10275	23674
454	10297	23650
455	10320	23628
456	10343	23606
457	10366	23584
458	10390	23565
459	10413	23544
460	10434	23517
461	10458	23497
462	10479	23472
463	10502	23450
464	10523	23423
465	10544	23396
466	10567	23375
467	10589	23350
468	10611	23326
469	10635	23308
470	10656	23282
471	10679	23259
472	10702	23236
473	10727	23219
474	10746	23188
475	10776	23182
476	10809	23182
477	10838	23173
478	10858	23144
479	10882	23125
480	10904	23100
481	10926	23076
482	10944	23044
483	10969	23026
484	10990	23001
485	11010	22972
486	11034	22952
487	11056	22927
488	11076	22901
489	11098	22877
490	11122	22856
491	11144	22832
492	11165	22806
493	11187	22783
494	11210	22760
495	11232	22736
496	11252	22707
497	11273	22683
498	11296	22661
499	11318	22637
500	11341	22615
501	11362	22589
502	11387	22572
503	11409	22547
504	11429	22519
505	11451	22495
506	11473	22472
507	11497	22452
508	11519	22428
509	11540	22401
510	11562	22378
511	11583	22352
512	11608	22333
513	11630	22311
514	11652	22287
515	11675	22265
516	11696	22238
517	11719	22217
518	11741	22193
519	11762	22168
520	11785	22145
521	11806	22120
522	11828	22096
523	11850	22071
524	11873	22050
525	11893	22024
526	11916	22001
527	11937	21976
528	11959	21951
529	11982	21929
530	12003	21905
531	12026	21882
532	12049	21860
533	12072	21839
534	12094	21815
535	12116	21791
536	12138	21768
537	12160	21743
538	12183	21722
539	12205	21698
540	12228	21676
541	12245	21643
542	12268	21622
543	12290	21598
544	12316	21582
545	12337	21556
546	12357	21529
547	12380	21508
548	12402	21483
549	12428	21466
550	12453	21448
551	12473	21422
552	12494	21396
553	12518	21376
554	12539	21350
555	12560	21325
556	12583	21303
557	12604	21278
558	12624	21251
559	12650	21234
560	12667	21203
561	12694	21186
562	12716	21164
563	12741	21144
564	12763	21122
565	12786	21099
566	12808	21076
567	12831	21053
568	12855	21033
569	12879	21013
570	12901	20990
571	12925	20970
572	12946	20944
573	12968	20920
574	12993	20902
575	13018	20883
576	13039	20858
577	13063	20838
578	13080	20806
579	13101	20782
580	13125	20761
581	13148	20739
582	13173	20721
583	13196	20698
584	13222	20680
585	13244	20657
586	13264	20631
587	13287	20608
588	13309	20585
589	13331	20562
590	13354	20539
591	13377	20518
592	13398	20493
593	13420	20470
594	13443	20447
595	13464	20423
596	13488	20402
597	13510	20378
598	13532	20355
599	13553	20329
600	13576	20307
601	13598	20284
602	13620	20261
603	13644	20240
604	13669	20221
605	13690	20197
606	13713	20174
607	13736	20152
608	13759	20131
609	13781	20107
610	13805	20086
611	13828	20065
612	13851	20042
613	13873	20020
614	13897	19999
615	13920	19977
616	13942	19953
617	13964	19929
618	13987	19908
619	14009	19884
620	14032	19862
621	14057	19843
622	14079	19819
623	14101	19795
624	14123	19772
625	14143	19747
626	14164	19721
627	14187	19699
628	14210	19677
629	14232	19654
630	14254	19631
631	14277	19608
632	14300	19587
633	14322	19563
634	14346	19542
635	14369	19520
636	14392	19498
637	14414	19474
638	14435	19450
639	14455	19424
640	14476	19399
641	14498	19376
642	14520	19353
643	14541	19328
644	14564	19306
645	14585	19281
646	14609	19260
647	14631	19237
648	14652	19213
649	14672	19186
650	14695	19164
651	14717	19141
652	14738	19116
653	14763	19097
654	14787	19076
655	14809	19053
656	14833	19032
657	14853	19007
658	14877	18986
659	14899	18962
660	14923	18941
661	14944	18918
662	14967	18895
663	14988	18871
664	15011	18849
665	15033	18825
666	15058	18805
667	15078	18780
668	15100	18757
669	15120	18731
670	15142	18708
671	15164	18684
672	15185	18659
673	15207	18636
674	15230	18614
675	15247	18585
676	15267	18560
677	15290	18537
678	15311	18514
679	15335	18492
680	15357	18469
681	15379	18445
682	15401	18423
683	15424	18401
684	15445	18377
685	15468	18354
686	15491	18333
687	15513	18309
688	15535	18286
689	15555	18260
690	15577	18237
691	15599	18214
692	15622	18192
693	15644	18169
694	15669	18149
695	15692	18127
696	15713	18103
697	15736	18080
698	15757	18057
699	15779	18034
700	15802	18011
701	15823	17986
702	15847	17967
703	15870	17944
704	15893	17922
705	15918	17902
706	15939	17878
707	15962	17856
708	15981	17830
709	16003	17806
710	16020	17777
711	16041	17753
712	16062	17729
713	16084	17706
714	16105	17682
715	16128	17660
716	16150	17637
717	16172	17613
718	16193	17589
719	16218	17569
720	16238	17544
721	16259	17520
722	16282	17498
723	16304	17475
724	16327	17453
725	16348	17429
726	16372	17407
727	16395	17385
728	16416	17361
729	16439	17340
730	16460	17316
731	16484	17294
732	16507	17273
733	16532	17253
734	16554	17229
735	16577	17208
736	16598	17183
