iter	Logloss
0	0.6833985718
1	0.6746984839
2	0.6668457151
3	0.6599266779
4	0.6539589271
5	0.6486301451
6	0.6438718773
7	0.6395253492
8	0.6358523432
9	0.6325278309
10	0.6296665225
11	0.6270582963
12	0.6245073838
13	0.6223587507
14	0.6206959286
15	0.619241969
16	0.6175680403
17	0.6160677671
18	0.6147744489
19	0.6137141129
20	0.6126351169
21	0.6117791561
22	0.6109183811
23	0.6102460952
24	0.6096014718
25	0.6087460762
26	0.6082093815
27	0.6075073232
28	0.6069827762
29	0.6064454827
30	0.6060689445
31	0.6056478135
32	0.6052875999
33	0.6048999189
34	0.6044754877
35	0.6042396668
36	0.6039485808
37	0.6036061695
38	0.6033353207
39	0.6030714089
40	0.6028068924
41	0.6026554345
42	0.6024992434
43	0.6023808304
44	0.6021252706
45	0.6019957992
46	0.6018904936
47	0.6017499001
48	0.60167814
49	0.6015859315
50	0.6014416068
51	0.6013761966
52	0.6012355309
53	0.6011551932
54	0.6010875577
55	0.601021532
56	0.6009637311
57	0.6009116233
58	0.6007909958
59	0.6007454713
60	0.6005989665
61	0.6004547254
62	0.6003036829
63	0.6002510437
64	0.6001546065
65	0.6001116172
66	0.6000819269
67	0.600013521
68	0.5999470457
69	0.5998726153
70	0.5997846537
71	0.5997427096
72	0.5996603291
73	0.5996445536
74	0.5995790165
75	0.5995739944
76	0.5995751728
77	0.5995479757
78	0.5993678674
79	0.5993265391
80	0.5992879913
81	0.5992609568
82	0.5991912911
83	0.5991525841
84	0.5991525423
85	0.5991278568
86	0.5991355543
87	0.5990938449
88	0.5990545707
89	0.5990357821
90	0.5989999307
91	0.5989892843
92	0.598984064
93	0.5989849017
94	0.5989425841
95	0.5988713647
96	0.5988276522
97	0.5987673413
98	0.5987438521
99	0.5987258779
100	0.5985963343
101	0.5985747815
102	0.5985749469
103	0.5985471604
104	0.5985249049
105	0.5985261332
106	0.5985071617
107	0.5984803868
108	0.5984708342
109	0.5984521499
110	0.5984329678
111	0.598439221
112	0.5984223869
113	0.5983916809
114	0.5983927389
115	0.5982951213
116	0.5982754198
117	0.5982563713
118	0.5982595535
119	0.5982177508
120	0.5982058092
121	0.5981714939
122	0.5981457814
123	0.5981202918
124	0.598122036
125	0.5980374433
126	0.5980240767
127	0.5980490682
128	0.5980146213
129	0.5980045859
130	0.5979998664
131	0.5979676706
132	0.5979410746
133	0.5979350792
134	0.5979297256
135	0.5979515857
136	0.597880112
137	0.5978735634
138	0.5978661047
139	0.5978284431
140	0.5977937993
141	0.5977890376
142	0.5977582522
143	0.5977558909
144	0.59774274
145	0.5977355761
146	0.597734121
147	0.5977315356
148	0.5977084043
149	0.5977156714
150	0.5977090764
151	0.5976973404
152	0.5976881734
153	0.5976404616
154	0.5976291049
155	0.5976074022
156	0.5975974692
157	0.5975966382
158	0.5975920345
159	0.5975837113
160	0.5975697928
161	0.5975550873
162	0.5975285851
163	0.5975072429
164	0.5974843264
165	0.5974827952
166	0.5974713557
167	0.5974657883
168	0.597430449
169	0.5974162355
170	0.5974105472
171	0.5974206928
172	0.5973934887
173	0.5974144943
174	0.5974099917
175	0.5974029977
176	0.5973604125
177	0.5973410916
178	0.5973241137
179	0.5973151751
180	0.597287824
181	0.5972475401
182	0.5972400814
183	0.5972317884
184	0.5972281942
185	0.5971888321
186	0.597159383
187	0.5971757735
188	0.5971186144
189	0.5971152883
190	0.5971078901
191	0.5971127287
192	0.5970916947
193	0.5970798444
194	0.5970739614
195	0.5970994385
196	0.5970794461
197	0.5970661371
198	0.5970566048
199	0.5970539314
200	0.5970385773
201	0.5970343529
202	0.5970317121
203	0.5970057235
204	0.5969971653
205	0.596974173
206	0.5969470533
207	0.5969384951
208	0.5969220753
209	0.5969222896
210	0.5969284097
211	0.5969101574
212	0.5969163914
213	0.5969086379
214	0.5968874761
215	0.5968785228
216	0.5968728385
217	0.5968658318
218	0.5968602564
219	0.5968474208
220	0.5968441586
221	0.5968349416
222	0.5968321269
223	0.5968118079
224	0.5967952087
225	0.5967862805
226	0.5967590848
227	0.5967550031
228	0.5967370366
229	0.5967258444
230	0.5967137835
231	0.5967135138
232	0.5967026799
233	0.5966907719
234	0.5966836096
235	0.5966579219
236	0.5966583086
237	0.5966458333
238	0.5966402763
239	0.5966308495
240	0.5965903902
241	0.5965780592
242	0.5965697117
243	0.5965804955
244	0.596538121
245	0.5965362468
246	0.5965232719
247	0.5965469182
248	0.5965298682
249	0.5964942281
250	0.5964937473
251	0.5964838156
252	0.5964815259
253	0.5964930564
254	0.5964858367
255	0.5964833511
256	0.5964719319
257	0.596455788
258	0.5964577251
259	0.5964321319
260	0.5964258989
261	0.5963967587
262	0.5963768596
263	0.5963647189
264	0.596336637
265	0.596311595
266	0.5963107112
267	0.5963054734
268	0.5962972117
269	0.5962920719
270	0.5962830528
271	0.596268605
272	0.5962638325
273	0.5962393198
274	0.5962314283
275	0.5962173386
276	0.5962067028
277	0.5962019229
278	0.5961794665
279	0.5961721535
280	0.5961541623
281	0.59611545
282	0.5961072468
283	0.5960846815
284	0.5960668018
285	0.5960607751
286	0.5960580934
287	0.596028485
288	0.5960288377
289	0.5960069042
290	0.5959973556
291	0.5959834975
292	0.5959682668
293	0.5959474674
294	0.5958977236
295	0.5958898891
296	0.5958816269
297	0.5958710311
298	0.5958639048
299	0.5958505359
300	0.5958263398
301	0.5958172183
302	0.5958032828
303	0.5957900525
304	0.5957425124
305	0.5957359679
306	0.5957284557
307	0.5957130468
308	0.5957019636
309	0.595688832
310	0.5956547293
311	0.5956479692
312	0.5956316238
313	0.5956137689
314	0.5955912411
315	0.5955766103
316	0.5955829113
317	0.5955715225
318	0.595558722
319	0.5955311091
320	0.595515528
321	0.59549897
322	0.5955008985
323	0.5954877343
324	0.5954845928
325	0.595472724
326	0.5954681256
327	0.5954501135
328	0.5954425721
329	0.5954007743
330	0.5954001681
331	0.5954061816
332	0.5953803621
333	0.5953644572
334	0.5953479713
335	0.5953334696
336	0.595329036
337	0.5953054685
338	0.5952936223
339	0.5952848293
340	0.5952699787
341	0.5952428284
342	0.5952352591
343	0.5952299927
344	0.595219583
345	0.5952133698
346	0.5951905732
347	0.5951870879
348	0.5951879499
349	0.5951737676
350	0.5951383195
351	0.5951209642
352	0.5951126588
353	0.595104333
354	0.5950991917
355	0.5950966498
356	0.5950966498
357	0.5950837723
358	0.5950796895
359	0.5950721681
360	0.5950645912
361	0.5950481595
362	0.5950381476
363	0.5950231745
364	0.5949939163
365	0.5949989237
366	0.5949680898
367	0.5949622864
368	0.5949482969
369	0.5949431524
370	0.594917016
371	0.5949048628
372	0.5948909794
373	0.5948912014
374	0.5948841742
375	0.5948681821
376	0.5948573727
377	0.5948519473
378	0.5948570097
379	0.5948475672
380	0.5948437032
381	0.5948135951
382	0.5948165947
383	0.5948156836
384	0.5947947083
385	0.5947810564
386	0.5947796575
387	0.5947548051
388	0.5947460221
389	0.5947527516
390	0.5947523754
391	0.5947427202
392	0.5947389787
393	0.5947232189
394	0.5947179519
395	0.5946923224
396	0.5946864076
397	0.5946759034
398	0.5946635168
399	0.5946651178
400	0.5946648168
401	0.5946649969
402	0.5946581464
403	0.5946402864
404	0.5946394289
405	0.5946255522
406	0.5946112207
407	0.5946023728
408	0.5946226747
409	0.5946150592
410	0.5945973752
411	0.5945894355
412	0.5945439223
413	0.5945276571
414	0.5945639098
415	0.5945134
416	0.5945453499
417	0.5945352167
418	0.5945282768
419	0.5945171452
420	0.5945164766
421	0.5945101829
422	0.5944933242
423	0.594483129
424	0.5944778703
425	0.5944619194
426	0.5944552458
427	0.5944463076
428	0.5944419618
429	0.5944258492
430	0.5944094407
431	0.5944099689
432	0.594393973
433	0.5943914577
434	0.594388938
435	0.5943814042
436	0.5943771584
437	0.5943796377
438	0.5943729424
439	0.5943631
440	0.5943554486
441	0.5943322891
442	0.5943188009
443	0.5943109935
444	0.5943074927
445	0.5942856762
446	0.5942826358
447	0.5942710106
448	0.5942564189
449	0.5942456923
450	0.5942281076
451	0.594232749
452	0.594199703
453	0.5941906413
454	0.5941961523
455	0.594172763
456	0.5941661024
457	0.5941706053
458	0.5941657181
459	0.5941576113
460	0.5941426262
461	0.5941267424
462	0.59411425
463	0.5941109665
464	0.5941137982
465	0.5940933726
466	0.594083915
467	0.5940895126
468	0.5940673766
469	0.594061624
470	0.594048145
471	0.5940416687
472	0.5940315626
473	0.5940190369
474	0.5940150169
475	0.5940093075
476	0.5940097238
477	0.5939962773
478	0.5939930447
479	0.5939723696
480	0.5939678806
481	0.5939592541
482	0.5939592379
